salida_0,salida_1,salida_2,salida_3,salida_4,salida_5,salida_6,salida_7,salida_8,salida_9,salida_10,salida_11,salida_12,salida_13,salida_14,salida_15,salida_16,salida_17,salida_18,salida_19,salida_20,salida_21,salida_22,salida_23,salida_24,salida_25,salida_26,salida_27,salida_28,salida_29,salida_30,salida_31,salida_32,salida_33,salida_34,salida_35,salida_36,salida_37,salida_38,salida_39,salida_40,salida_41,salida_42,salida_43,salida_44,salida_45,salida_46,salida_47,salida_48,salida_49,salida_50,salida_51,salida_52,salida_53,salida_54,salida_55,salida_56,salida_57,salida_58,salida_59,salida_60,salida_61,salida_62,salida_63,salida_64,salida_65,salida_66,salida_67,salida_68,salida_69,salida_70,salida_71,salida_72,salida_73,salida_74,salida_75,salida_76,salida_77,salida_78,salida_79,salida_80,salida_81,salida_82,salida_83,salida_84,salida_85,salida_86,salida_87,salida_88,salida_89,salida_90,salida_91,salida_92,salida_93,salida_94,salida_95,salida_96,salida_97,salida_98,salida_99,salida_100,salida_101,salida_102,salida_103,salida_104,salida_105,salida_106,salida_107,salida_108,salida_109,salida_110,salida_111,salida_112,salida_113,salida_114,salida_115,salida_116,salida_117,salida_118,salida_119,salida_120,salida_121,salida_122,salida_123,salida_124,salida_125,salida_126,salida_127,salida_128,salida_129,salida_130,salida_131,salida_132,salida_133,salida_134,salida_135,salida_136,salida_137,salida_138,salida_139,salida_140,salida_141,salida_142,salida_143,salida_144,salida_145,salida_146,salida_147,salida_148,salida_149,salida_150,salida_151,salida_152,salida_153,salida_154,salida_155,salida_156,salida_157,salida_158,salida_159,salida_160,salida_161,salida_162,salida_163,salida_164,salida_165,salida_166,salida_167,salida_168,salida_169,salida_170,salida_171,salida_172,salida_173,salida_174,salida_175,salida_176,salida_177,salida_178,salida_179,salida_180,salida_181,salida_182,salida_183,salida_184,salida_185,salida_186,salida_187,salida_188,salida_189,salida_190,salida_191,salida_192,salida_193,salida_194
1.33,1.32,0.0,0.0,0.0,0.0,1.0728571428571427,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,1.789999988,0.0,0.0,0.0,4.300000000000001,0.0,0.0,3.4,4.3,0.0,1.15625,0.0,0.0,0.0,2.966,4.5,0.0,1.35,0.0,0.0,0.0,0.0,0.0,4.449999999999999,1.6266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,4.46,4.4,1.36,0.0,0.0,0.0,0.0,0.0,1.8833333333333333,1.0874999999999997,0.0,1.55,1.9,0.0,0.0,0.0,4.5,4.55,1.5333333333333332,0.0,4.5,4.25,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.31,0.0,0.0,0.0,4.3,0.0,0.0,1.005,1.61,0.0,0.9200000000000002,0.0,0.9714285714285714,0.0,0.0,2.056666666666666,0.0,0.0,0.0,1.781,0.0,0.0,0.0,3.59,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,4.5,4.1,0.0,0.0,0.0,0.0,1.452857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.144,0.0,1.02,0.0,4.866666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8500000000000003,0.0,0.0,0.0,2.9,0.0,0.0,1.2206666666666668,0.0,0.0,0.0,0.0,0.959,1.157142857142857,0.0,0.0,0.0,0.0,0.0,0.0,1.208095238095238,0.0,0.0
0.0,1.49375,4.6,0.0,4.449999999999999,0.0,0.8626666666666666,0.0,4.4,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,2.131666658333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3075,0.0,4.634146341463414,0.0,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2966666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,0.0,0.0,0.0,2.0,0.0,0.0,4.466666666666667,0.0,0.0,0.0,4.5,0.0,4.7,4.499999999999999,0.0,1.018,0.0,0.0,4.4,0.0,0.0,0.0,1.3382352941176472,0.0,1.4500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,4.35,0.0,0.0,0.0,0.0,4.7,4.3,0.0,0.0,0.0,3.0,0.0,0.0,3.3,0.0,4.35,1.206,4.0,0.0,0.0,0.0,0.0,0.0,1.1179545454545456,0.0,0.0,1.5583333333333331,0.0,1.375,4.2,0.0,1.1466666666666667,0.0,0.0,0.0,2.273333333333333,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,4.6,0.0,0.0,4.3,4.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.911875,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,1.9760000000000004,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.9670588235294116,1.4421052631578946,0.0,4.0,0.0,0.0,0.0,0.0,0.8620833333333334,0.0,0.0
1.49,1.2750000000000006,0.0,4.4,0.0,0.0,0.6978571428571428,0.0,4.4,0.0,1.6,0.0,0.0,0.0,0.0,1.939166671666667,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.376,0.0,0.0,0.0,2.5521052631578955,0.0,0.0,1.7,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,4.659999999999999,0.0,4.449999999999999,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.82,1.5672727272727272,0.0,1.3,1.41,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2150000000000003,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,4.5,0.0,2.1025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002222222222222,1.18,0.0,0.55,0.0,1.4666666666666668,0.0,0.0,1.6222222222222225,0.0,0.0,0.0,3.3000000000000003,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,4.6,0.0,0.0,0.0,0.0,0.9,4.4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.2945454545454549,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.5025,0.0,0.0,0.0,0.0,0.0,2.5,4.7,0.0,0.0,0.0,2.233333333333333,0.0,0.0,0.0,1.4,0.0,0.0,1.3516666666666668,0.0,0.0,0.0,0.0,0.8319444444444445,1.36,0.0,0.0,1.2,1.45,0.0,0.0,1.055,0.0,0.0
1.7766666666666666,1.294871794871795,0.0,0.0,0.0,0.0,0.982777777777778,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2.3562820505128217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333334,0.0,0.0,0.0,2.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,4.4,1.255,0.0,0.0,4.3,4.4,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,0.0,4.566666666666666,4.4,1.0578947368421054,0.0,0.0,0.0,0.0,0.0,2.4,1.273870967741935,0.0,1.75,1.41,0.0,0.0,0.0,0.0,4.8,1.9,0.0,0.0,4.9,1.815,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,2.9,4.7,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,4.6,0.0,0.0,1.0031428571428571,1.4213333333333331,0.0,1.2144444444444444,0.0,1.3266666666666669,0.0,0.0,0.0,4.4,0.0,0.0,1.81125,0.0,0.0,0.0,2.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6000000000000005,0.0,4.65,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0645454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.5499999999999999,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0695652173913044,0.0,0.0,0.0,0.0,0.0,0.0,1.6691666666666665,0.0,0.0,0.0,0.0,1.1025000000000005,1.5,0.0,0.0,0.0,0.0,1.8,0.0,0.9463636363636364,0.0,0.0
1.7,1.2789473684210526,0.0,0.0,0.0,0.0,1.2067857142857148,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,1.9054166695833337,0.0,2.51,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.702,0.0,0.0,0.0,2.5426086956521736,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.3650000000000002,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.766666666666667,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,4.2,4.362500000000001,0.0,0.5999999999999999,0.0,0.0,0.0,0.0,0.0,2.333333333333333,1.3357142857142856,0.0,1.5,1.2855555555555556,0.0,0.0,0.0,0.0,0.0,2.4,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,2.7,0.0,0.0,1.8,0.0,4.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7218181818181816,1.1566666666666667,0.0,0.8185714285714286,0.0,1.375,0.0,5.324999999999999,1.962857142857143,0.0,0.0,4.4,2.738,0.0,0.0,0.0,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,1.115,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,-0.328235294117647,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.6409999999999999,0.0,0.0,0.0,0.0,1.0987499999999997,1.2636363636363634,0.0,0.0,1.2,0.0,0.0,4.9,1.113709677419355,0.0,0.0
1.2766666666666666,1.4277777777777776,4.1,0.0,0.0,0.0,0.9894736842105264,4.2,4.35,0.0,1.443478260869565,0.0,0.0,0.0,0.0,2.1804545213636364,0.0,0.0,0.0,0.0,2.2,0.0,4.4,0.0,0.0,1.1033333333333333,0.0,0.0,0.0,2.4975,0.0,0.0,3.1,0.0,4.1,0.0,0.0,0.0,4.5,1.88,0.0,0.0,0.0,0.0,0.0,0.0,4.25,4.4,0.0,0.0,0.0,0.0,0.0,5.1,4.5,0.0,0.0,0.0,4.2,0.0,4.4,4.366666666666666,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.55,1.386842105263158,4.9,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.3666666666666665,0.0,0.0,4.2,2.5948837209302327,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,2.8,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7524000000000001,1.62,0.0,1.72,0.0,1.2999999999999998,0.0,0.0,1.4983333333333333,0.0,0.0,0.0,1.8,0.0,0.0,0.0,3.635,4.3,0.0,0.0,3.7,0.0,0.0,4.4,4.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0425,4.4,1.5300000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,2.5,0.0,1.13,0.0,1.5666666666666669,0.0,0.0,1.9763636363636363,0.0,0.0,0.0,0.0,1.0288461538461535,1.2888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0
0.0,1.4260869565217391,0.0,0.0,0.0,0.0,1.423181818181818,4.6,4.6,0.0,1.4,0.0,0.0,0.0,4.4,1.95769231,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.92,4.1,0.0,0.0,2.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.3550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.233333333333333,0.0,0.0,0.0,0.0,0.0,4.4,4.4,0.0,4.9,0.0,0.0,0.0,0.0,4.471428571428571,5.5,1.22,0.0,0.0,0.0,0.0,0.0,3.3,1.3766666666666667,4.449999999999999,0.0,1.94,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,2.8633333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0,4.3,4.1,0.0,0.8340000000000001,1.68,0.0,0.5166666666666667,0.0,1.35,0.0,0.0,1.1466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,4.9,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,4.0,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.7,2.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6799999999999999,0.0,0.0,4.2,0.0,1.0238235294117648,1.2333333333333334,4.9,0.0,0.0,0.0,0.0,0.0,1.142857142857143,0.0,0.0
1.725,1.2142857142857142,0.0,0.0,0.0,0.0,1.0086956521739132,0.0,4.5,4.4,0.75,0.0,0.0,0.0,0.0,2.172812505625,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.7873333333333332,0.0,0.0,0.0,2.6600000000000006,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.536,0.0,0.0,0.0,4.5,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,3.2,4.0,0.0,0.0,4.614285714285714,0.0,0.85,0.0,0.0,0.0,0.0,0.0,2.36,1.38375,4.4,1.32,1.403333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.78,0.0,0.0,1.55,4.6,0.0,0.0,4.6,0.0,0.0,0.8774285714285716,1.3875,5.1,0.4483333333333333,0.0,1.2474999999999998,0.0,0.0,1.653333333333333,0.0,0.0,0.0,1.795333333333334,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,4.2,0.0,0.8647619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,1.1,0.0,1.4527272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,2.2363636363636363,0.0,0.0,0.0,0.0,4.3,0.0,0.6765573770491802,0.0,0.0,4.266666666666667,0.0,0.9424137931034482,1.2666666666666668,0.0,0.0,0.0,1.1,1.9,0.0,0.8158823529411764,0.0,0.0
0.0,1.497297297297297,0.0,4.3,0.0,0.0,1.025,0.0,4.1,0.0,1.05,0.0,0.0,0.0,0.0,1.8599999911764709,3.1,0.0,0.0,4.3,0.0,0.0,5.0,0.0,0.0,1.1825,0.0,0.0,0.0,2.546666666666667,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,1.0750000000000002,0.0,0.0,0.0,0.0,0.0,2.3233333333333337,0.4947222222222223,0.0,1.8266666666666664,0.7949999999999999,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,3.1333333333333333,0.0,0.0,1.2733333333333332,0.0,0.0,2.4,4.5,0.0,0.0,0.0,4.3,0.0,0.9255263157894736,0.0,5.0,0.8346153846153848,0.0,1.2426315789473683,0.0,0.0,0.585,5.2,0.0,0.0,2.5250000000000004,0.0,0.0,0.0,3.29,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0,0.0,4.95,0.0,0.0,1.9,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,4.3,3.7,0.0,0.0,0.0,0.0,2.111428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1.922727272727272,0.0,0.0,0.0,2.9,0.0,0.0,2.6,0.0,0.0,0.0,0.0,1.0833333333333337,1.66,0.0,0.0,0.0,0.0,0.0,0.0,1.0225,0.0,0.0
1.84,1.1435897435897433,4.5,0.0,0.0,0.0,1.2345454545454546,0.0,4.2,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,2.0066666822222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8877777777777779,0.0,0.0,0.0,2.236842105263157,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,1.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,3.1,4.2,0.0,0.0,4.279999999999999,0.0,0.9250000000000002,0.0,0.0,0.0,0.0,0.0,2.22,1.163,4.2,2.2,0.79,0.0,0.0,2.0,0.0,0.0,1.1,0.0,0.0,4.6,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00125,0.0,0.0,1.5,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.7443999999999995,1.37,0.0,2.015,0.0,1.263157894736842,0.0,0.0,0.0,0.0,0.0,4.725,2.0250000000000004,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.1,0.0,0.0,0.0,0.0,4.35,0.0,5.1,0.0,0.0,0.0,0.0,1.8484,4.5,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,2.0666666666666664,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,2.3529411764705883,0.0,4.3,0.0,0.0,1.0897297297297297,1.6000000000000003,4.6,0.0,0.0,0.0,0.0,0.0,0.8193333333333329,0.0,0.0
